header,job_title,company_name,job_location,job_type,salary
,Data Analyst,Veeva Systems,Lisboa,Período Integral,
,BI Analyst,Vodafone,Modelo Híbrido in Lisboa,,
,Data Analyst,Glintt Global,Teletrabalho in Porto,,
,Functional Analyst,360imprimir,Lisboa,,
,Capabilities & Insights Analyst - Oil & Gas,McKinsey & Company,Lisboa,,
,Transaction Monitoring Analyst (Investigations),Accenture,Lisboa,Período Integral,
,Data Analyst Sustainability,Airbus Portugal SA,Modelo Híbrido in Lisboa,Período Integral,
nova,Administrative Analyst - French Speaker,Willis Towers Watson,Modelo Híbrido in Lisboa,,
,Data Analyst/ Data Engineer,Equação IT,Modelo Híbrido in Lisboa,Período Integral,
,Data Driven | Data Analyst,Devoteam,Lisboa,Período Integral,
,Graduate Data Analyst - Lisbon,Efficio Consulting,Lisboa,,
,FRESH - Risk Dedicated Solutions - IT Team Leader,BNP Paribas,Modelo Híbrido in Lisboa,Período Integral,
,Business Process Analyst (F/M/X),Syensqo,Lisboa,Período Integral,
,Consumer Engagement Services Data Analyst,Nestle Operational Services Worldwide SA,Modelo Híbrido in Linda-a-Velha,Período Integral,
,Senior Vulnerability Management Analyst,IQVIA,Modelo Híbrido in Oeiras,,
,Junior Data Analyst,SDG Group,Lisboa,,
,Data Governance Analyst - Performance Management,Airbus Portugal SA,Modelo Híbrido in Lisboa,Período Integral,
,Data Analyst,Expleo Group,Lisboa,,
,Medical Specialist - Link Medical Insights,Veeva Systems,Lisboa,Período Integral,
,Estágio Profissional - Data Analyst,LEROY MERLIN Portugal,Modelo Híbrido in Lisboa,Estágio / Trainee,
,Marketing Analyst,Vodafone,Modelo Híbrido in Lisboa,,
,Marketing Data Analyst,360imprimir,Lisboa,,
,Senior Medical Analyst - Link Medical Insights,Veeva Systems,Lisboa,Período Integral,
,Data Analyst - Link for MedTech (Remote),Veeva Systems,Teletrabalho in Lisboa,,
,Corporate Credit Risk Analyst - Transversal Projects,BNP Paribas,Modelo Híbrido in Lisboa,Período Integral,
,Associate Analyst,Hovione,Loures,,
,Junior Content Analyst - French Speaking - WFH in Portugal Continental,Majorel Portugal,Teletrabalho,,
,Senior Data Analyst,Feedzai,Lisboa,,
,Data Analyst,360imprimir,Lisboa,,
,FP&A Analyst,CBRE,Lisboa,,
,Data Analyst (Media Sector) – Lisboa (M/F),Ankix,Lisboa,,
,Data Scientist,Airbus Portugal SA,Modelo Híbrido in Lisboa,Período Integral,
,Financial Analyst Manager (m/f/x),Procter & Gamble,Oeiras,Período Integral,
,Business Intelligence Analyst,Arquiconsult,Modelo Híbrido in Lisboa,Integral/Full-time,
,Sr. Associate Business Analyst,Amgen,Lisboa,,
,Operational Risk Analyst - ORPAC,BNP Paribas,Modelo Híbrido in Lisboa,Período Integral,
,Data Analyst,Noesis,Lisboa,Período Integral,
,Senior Data Analyst,Hiire,Modelo Híbrido in Lisboa,,
,Data Analyst,Growin,Modelo Híbrido in Lisboa,Período Integral,
,Senior .NET Architect / Technical Business Analyst,Sureminds Solution Portugal,Teletrabalho in Lisboa,Período Integral,8 875€ - 10 123€ por ano
,Business Intelligence Analyst,360imprimir,Lisboa,,
,Finance & Operations Analyst,BIG - Banco de Investimento Global,Lisboa,,
,Junior Marketing Analyst (4 day workweek & remote),360imprimir | Bizay,Teletrabalho in Lisboa,Período Integral,
,BI Analyst/R Shiny Developer,McKinsey & Company,Lisboa,,
,Menu Data Modeling & Tools Analyst,"Tillster, Inc.",Teletrabalho,Período Integral,
,Valuation Market Risk Intern,BNP Paribas,Porto,Período Integral +1,
,Market and Counterparty Risk Management Information Team Leader,BNP Paribas,Modelo Híbrido in Porto,Período Integral,
,Senior Data Analyst,FRVR,Teletrabalho in Lisboa,,
,Accounts Payable Analyst,Dawn Food Products Inc,Modelo Híbrido in Setúbal,,
,Junior Data Analyst,KANTAR,Lisboa,Período Integral,
,Web Analytics and SEO - Data Analyst,Airbus Portugal SA,Modelo Híbrido in Lisboa,Período Integral,
,Júnior Data Analyst (M/F) – Lisboa,Ankix,Lisboa,,
,Junior Data Analyst,Integer Consulting,Lisboa,Integral/Full-time,
,Pricing Analyst,360imprimir,Lisboa,,
,Economist / Data Analyst,A2F Consulting LLC,Lisboa,Período Integral,
,Data Analyst,1WorldSync,Lisboa,Período Integral,
,HR Data & Reporting Analyst (Maternity Leave Cover),Airbus Portugal SA,Modelo Híbrido in Lisboa,Período Integral,
,Data Analyst - Remote,Madiff,Teletrabalho in Lisboa,,
,Data Driven | Business Analyst,Devoteam,Lisboa,Período Integral,
,Junior Structured Finance Analyst (Lisbon),ARC Ratings,Modelo Híbrido in Lisboa,Período Integral,
,Data Analyst,Peroptyx,Teletrabalho in Lisboa,Tempo Parcial,700€ por mês
,Finance Business Analyst,Airbus Portugal SA,Modelo Híbrido in Lisboa,Período Integral,
,FP&A Analyst Commercial,Convatec,Modelo Híbrido in Lisboa,,
,Data Analyst - Analytics and Insights - Data Center of Excellence,Bose,Lisboa,Período Integral,
,Data Analyst,Pipedrive,Modelo Híbrido in Lisboa,Período Integral,
,Freelance Remote: Online Data Analyst - Portuguese (PT),TELUS International,Teletrabalho,,
,QA Analyst,360imprimir,Lisboa,,
,EDM Analyst,Air Liquide,Tomar,Período Integral,
,Data Tester,Qualitest,Lisboa,Integral/Full-time,3 000€ - 4 000€ por mês
,Data Scientist Ontologist,Rancho BioSciences LLC,Teletrabalho in Lisboa,,
,(Senior) Investment Analyst,Dealflow.eu,Modelo Híbrido in Lisboa,,
,Data Analyst / CRO,Santander,Carcavelos,,
